objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,https://www.carl-abrc.ca/wp-content/uploads/2017/04/CARL_How_to_Assess_Journal_2017.png,,,How to Assess a Journal,Canadian Association of Research Libraries,2017,Infographic,journals;scholarly communication,,,,,,Image;StillImage,application/pdf,eng,CC BY,https://creativecommons.org/licenses/by/4.0/deed.en
coll002,https://upload.wikimedia.org/wikipedia/commons/3/32/Preprint_postprint_published.svg,,,Preprint-Postprint-Published Diagram,Thomas Shafee,2020,Diagram,,,,,,,Image;StillImage,image/svg,eng,CC BY,https://creativecommons.org/licenses/by/4.0/deed.en
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
